Urdu,Roman
ملوث,mulawis
لیبل,label
راب,rab
عادل,adil
سادگی,saadgimeri
الليرنگ,alluring
کہاوت,kahawat
گرانڈ,grand
ناک,naak
ریکوۓسٹ,request
تصو,taso
مونيي,money
یوں,yun
سیو,save
صدیاں,sadayein
کونیکشن,purchase
ڈیڈ,deadmen
نکالی,nikali
دیاہے,dia
ناٹ,nt
ثوبیہ,sobia
براڈکاسٹ,broadcast
خاموش,khamosh
پشتون,pashtoonpa
نادان,nadan
رنگوں,rangon
1,1
تباہ,tabah
کوکک,kick
آیڈیا,idea
قسمیں,qasmein
گری,giri
دورہ,dora
لونگی,loun
ٹکڑے,tukry
سمیع,sami
نو,no
پنج,panjtani
رانجھے,ranjhay
ٹھیک,thek
ملکہ,malika1hahaha
لمحوں,lamhon
وکيپي,occupy
یہر,year
سوے,soe
چھپا,chupa
جگر,jigar
دولت,dolat
چوڑیاں,chore
گھومنے,guhmne
خیر,khair
کیو,q
هونے,hone
چوما,chuma
گاڑی,gari
ساس,saas
مٹا,mita
دہشت,dehshat
اہل,all
هال,hal
طالبان,taliban
یاسمین,yesmanhi
سلیک,lvrslyk
پوانٹ,point
سینے,sene
بدنصیب,badnasib
انڈا,anda
لوٹو,loto
زنگو,zingoo
چڑھ,charh
وا,wa
عارضی,aarzi
اقرار,iqraar
صرف,sirf
فرئینڈز,friends
مونا,muna
کھولا,nikleq
آہن,aahn
رکھنے,rakhy
بیکار,bekar
یوح,yon
مجہمیں,me
ڈريس,dress
ذریعے,zariyhe
بھاگ,bhag
چاغی,chaghi1islamabd
جل,jal
مءی,may
چھٹی,chutti
حکيم,hakeem
رفیق,rafaqatainye
امانت,amanat
کنوليڈج,knowledge
طرار,traz
بهای,bhai
ویسے,wese
کہا,kaha
کھدائی,khudai
قوین,queen
صدیق,siddique
گز,gaz
ہلاک,halak
کثرت,kasrat
پوری,puri
رخان,rehna
ایپس,apps
لگو,lago
اسکا,uska
قابل,qabil
باطل,batil
باتيں,baatein
ازاں,azaan
سمرتی,smarty
باز,baaz
اکیس,amxamix
سومرا,somra
اچانک,achank
دیکھو,dekho
جلتا,dhagabolajalta
روح,rooh
جوان,jawan
کرسی,kursi
برف,barf
پیپر,paper
آیا,aya
گاڈ,god
محبوب,maheboob
ہنسا,hansa
نان,nan
بندی,bhaio
گوبھی,gobhi
هيں,hain
درد,dard
دورانی,duarani
اویس,owaisshah89
ایبیوز,abuse
کویٹا,quetta
آب,ab
جکا,juka
ہلکا,khuram
کدر,kadar
لگی,lagi
انوولو,involve
اگر,agr
موٹر,motor
ہوگی,hogi
گفتگو,guftugo
روتے,roye
جامی,jami
آسیب,aasaib
اانہ,enter
پاگلوں,paglon
اکیلی,akeli
ڈیٹ,date
نکلتے,nikalty
بهئی,bhai
مارو,maro
حوٹيل,hotel
خوابوں,khwabon
وضو,wazu
نها,naha
فقروں,faqiron
الان,elan
ڈھلتی,dhalti
مزاق,mazak
قبولیت,qaboliat
زی,z
وضاحتیں,wazahteinkesi
يير,year
جناب,janab
کونٹراري,contrary
پلے,playboy
ملتے,milte
نا,na
ایڈوانس,advance
دنو,dino
سند,send
شرط,shrt
کرن,kiran
دیک,dil
8,8
تمھارے,tmhary
منع,mana
ڈرنا,drna
تعلیم,education
چیٹ,chat
سارے,sare
چوک,chocklate
خیال,khayal
تمنا,tamana
چیرمین,chairman
ٹایم,time
کھایا,khaya
لیبر,labour
يوار,your
لکیریں,lakeerain
نظروں,nzaron
سی,c
ریشم,resham
7,7
احسان,ehsan
واٹ,wat
صحیح,sahi
ٹیک,take
برداشت,bardasht
شي,she
کیجیے,kejye
مرسی,mercy7halka
ستان,satana
ارضی,arzi
مزہ,mza
اشک,ashk
مدار,madaar
میمن,memon
عابد,abid
فور,for
پهر,phr
ٹٔم,time
اچھلنا,uchalna
هوی,hui
آنی,ani
حیرت,hyrat
مقابلے,muqably
ہی,hi
سنہری,sunehri
چين,hychain
شو,shoo
300,300
راۓ,rai
ابی,abi
بھنگ,bhang
اللہ,allah
اردو,urdu
وہے,wahey
پہلے,pehle
سچح,such
سونا,suna
پاکستانی,pakistani
گلاس,glass
اینجلس,angelzz
سمجھو,smjho
شاباش,shabash
گرانڈمودر,grandmother
سکتی,sakti
آف,of
یہیں,yhi
وش,wish
عقبہ,aqbanhi
کلام,kalaam
پاؤں,paon
کاروبار,karobar
لینی,leni
کناروں,kinare
جعفری,jafri
چیکو,chekoo5
دائر,dair
تمکو,tumko
وادي,wadi
برو,bro
بستی,bus
بگذ,bugs
اظہار,izhaar
سيرٔور,server
جویریہ,jaweria
چاہوگے,chahoge
کھلتا,khilta
122,122
رکھ,rakh
گرلز,girls
مو,mobile
مارکیٹ,market
ڈانٹ,dant
انہوں,unhon
شھد,shahd
نیلم,neelam
حقیقت,haqeeqat
سرخ,surkh
ڈالنا,matdalnablkymasjid
زین,zain
خشک,khushi
چیٹنگ,chating
سٔٹ,sight
دھمکیاں,yardhamkian
جوﻻٔي,july
میسیج,msg
رپورٹ,report
خشیاں,terakhushian
ببیز,babies
سہیلی,sahilli
فنکشن,function
پیس,peace
بیشک,be¤hak
مینوئل,manual
نظم,nazim
سونگ,song
اٹھتے,uthte
سیس,sis
عادت,aadat
عالیہ,alyia
حيرڈ,heard
صف,saf
فلور,floor
اتا,ata
غموں,ghamon
ااچھے,ache
ریبل,rebel
دوٹ,idot
گاؤں,gaoon
پیور,pure
سول,soulzy
نٹ,nt
عبدللہ,abdullah
اسم,asim
پہچانتے,pehchantay
کنگ,king
سٹک,lipstick
عمران,imran
قصور,kasor
خواہشات,hainaurkhwahishat
گزاری,guzari
لال,laal
طبعیت,tbiyt
زیل,zeal
رول,rule
فرشتوں,thafarishton
ہیپی,happy
عیدین,aridian
سکی,saki
چھوتی,chutti
کتا,kuta
سہی,sahi
مریض,mareez
اجر,ajar
خدا,khuda
وسط,twist2q
حمد,allhamdo
ٹوف,tough
پاتھ,path
فاروق,farooq
حينجر,hunger
مخالفت,mukhalfat
شورو,shuru
فرض,farz
اسیر,espnstaraseer
بول,bol
سئون,seven
خبری,khabrii
ہمسفر,humsafar
وادے,wade
امتحان,exam
ظلم,zulm
بوجھ,bojh
لوھا,loha
انلاوفيل,unlawful
لوڈ,load
حرا,hira
ستاس,stas
ونلي,only
ستاتی,stati
تبدیل,tabdeel
گوریلا,goreela786ali
کیا,kya
بدی,budai
غمگین,ghamgeen
برابر,barabar
ٹابل,table
توڑنا,torna
مافیا,mafia
بريسٹ,breast
کھڑا,khara
ٹھہرو,thehro
عبدل,abdul
سنٹر,center
ضعیف,zaeef
سیکھ,seekh
میٹرو,mitro
گرمیوں,garmiyon
یہاں,yahan
شیم,shame
آزاد,azad
چه,cherry
رہبر,rahbar
نیچے,nechy
کہیں,kahin
اتار,utar
اوڑھ,oarh
سف,sfjan2
ادھار,udhar
خو,khu
حوصلے,hosly
تم,tm
آوں,aaon
کہوں,kahon
باےکرنے,bye
آئینے,aienay
آصف,asif
ماں,maa
نوے,nawway
کاٹتے,kat'te
مورگن,morgunmeri
باغ,baagh
باکس,box
کو,ko
ترمیم,tarmeem
مینے,mene
23,atif23
لگاتا,lagta
پينسل,pencil
تیار,tayar
جلے,diljaly
آسٹریلیا,australiya
انکنون,unknown
لیڈی,ledy
اسے,usay
کرنا,krna
را,raat
کھائی,khe
لوہے,lohe
بهے,b
زرد,zard
وکیل,wakeel
چھپے,chhupy
ھوں,hon
اساسن,assassin
کنارا,kinara
دگنا,dugna
اٹھیں,uthen
آبی,aabi
اڑتے,6urte
بن,ban
چھوڑنا,chorna
موہ,mo
سافٹوئر,software
کراذي,crazy
انڈودوال,individual
شاید,shayad
لگاؤ,lagao
گود,godh
سکون,sukun
حسب,hasb
نبھا,nibha
مسیج,msg
سُن,sun
مارنے,marne
منگل,mangal
42,42
یاب,kamyam
ہاشمی,hashmi
بوبی,boby786
ہسبنڈ,husband
بتانا,btana
لمبی,lambi
عام,aam
راج,loveurajj
پہنچے,punhchy
طنز,tanz
بت,bt
مولا,mola
گي,ge
باهر,bahar
ایڈورڈ,edwward
ستوں,ston
عبرت,bara
رومانٹک,romantic
سلینتھ,silent
سوپر,super
ناشتے,nashta
بوجھل,bojhal
پیاری,pyari
مسلسل,musalsal
گِو,give
جملہ,jumla
لینا,lena
ہر,har
امام,imam
ونگ,wang
سہیل,sohail
دتا,dita
محدود,mehdood
نسخے,jisnay
کراؤ,karao
پرانا,purana
نرم,narm
بیلنس,balance
سوگ,sog
کیدو,frndskidunya
بر,bar
ہیںک,he
اختر,akhtar
اتنا,itna
مائے,my
فرشتہ,1farista
اِگزیمز,exam
اپسے,thanks
منہ,moun
آئینی,aini
گنے,gine
پروبليم,problem
پیا,pia
پڑھاتا,parhata
جيلي,july
بائے,bye
ٹھوکر,thokar
یاد,yad
انٹری,entery
تمی,time
فورا,fauran
کرتاتھا,krta
آتا,ata
ٹھکراتے,thukrate
سردار,srdar
فوار,four
جگہ,jaga
نؤومبير,november
ٹوٹا,tota
ہمّت,himmat
نکلے,nikle
فلے,fly
غصے,gusa
ملیں,milenge
پکانے,pakaane
14,14
لیتی,leti
چراغوں,charaghoon
کہنے,kehne
مبارک,mubarik
جاورنيي,journey
معلوم,maloom
داد,daad
مٹی,mitti
اپپيرانس,appearance
گاہے,diamondguyisay
نقل,naqal
وصال,wisaal
اہم,ahem
شام,sham
وسلام,wasalam
مے,me
تاکہ,ta
ہیکر,shikaryr
بجھا,bujha
سنائیں,sunaen
ویز,nywayx
بجانا,bjana
چیا,cheyia
مہراب,mehrabpur
مستقبل,hmry
ٹين,ten
سوئیں,soin
حساب,hisab
چینج,change
وار,waar
تارے,tare
تیاری,tayari
روزانہ,rozana
سنبھال,sanbhal
انکالاب,bhai
مٹ,mit
جوکز,jokes
حانڈ,hand
پیئیں,payenge
ابؤو,above
ٹیم,team
بکھر,bikhar
